rel_path,ext,format,subtype,channels,sample_rate,duration_sec,file_size_bytes,source_domain
Gyaase_Meeting_2nd_April_2024 (1043).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1044).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1045).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1046).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1047).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1048).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1049).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (105).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1050).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1051).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1052).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1053).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1054).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1055).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1056).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1057).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1058).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1059).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (106).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1060).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1061).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1062).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1063).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
