file,output,skipped,ok,msg,pre_snr_db,post_snr_db,snr_improvement_db,spec_dist,method,params
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (37).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (37).aff45104.wav,FALSE,TRUE,ok,19.45247635,55.63948351,36.18700716,82.25433926,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (38).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (38).aff45104.wav,FALSE,TRUE,ok,9.276079864,32.34893953,23.07285967,62.22475073,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (39).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (39).aff45104.wav,FALSE,TRUE,ok,7.685307348,28.06892634,20.38361899,59.09402188,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (4).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (4).aff45104.wav,FALSE,TRUE,ok,10.43401522,24.9418709,14.50785568,56.59083634,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (40).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (40).aff45104.wav,FALSE,TRUE,ok,10.25359803,35.40080901,25.14721098,57.06602769,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (41).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (41).aff45104.wav,FALSE,TRUE,ok,7.794849871,35.93256734,28.13771747,57.77310689,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (42).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (42).aff45104.wav,FALSE,TRUE,ok,9.766756472,35.48229613,25.71553966,73.06022956,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (43).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (43).aff45104.wav,FALSE,TRUE,ok,9.627358972,35.8937294,26.26637043,72.88152757,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (44).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (44).aff45104.wav,FALSE,TRUE,ok,11.36950912,37.05914396,25.68963484,65.25958934,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (45).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (45).aff45104.wav,FALSE,TRUE,ok,6.634739117,31.10578201,24.47104289,58.15954512,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
